u_in,t_wall,tpms_type,cell_size,perm,dp_per_L,QoI_eps_star,QoI_U_UI,QoI_SR_UI,QoI_P_UI,QoI_T_uniformity,QoI_G_SI
1.4,4.55,VOR,30,2.32E-08,14291.4,459.3590343,0.234691818,0.188054713,0.366750225,0.004911047,0.317164709
1.9,4.55,VOR,30,2.32E-08,26243.04,458.8095262,0.234358331,0.188164764,0.36680324,0.004911047,0.317652176
0.5,1.38,VOR,10,3.65E-08,3943.87,772.2347048,0.214007906,0.17341247,0.355458739,0.003700017,0.284971052
0.7,1.38,VOR,10,3.65E-08,7284.593333,633.9784816,0.212428029,0.173613638,0.35573572,0.003700017,0.286712936
1,1.38,VOR,10,3.65E-08,14263.49667,569.588851,0.211873034,0.173492079,0.355696324,0.003700017,0.287464548
1.4,1.38,VOR,10,3.65E-08,27453.15333,551.91509,0.211683033,0.173428782,0.355702403,0.003700017,0.288043536
1.9,1.38,VOR,10,3.65E-08,50114.06667,546.7511513,0.211533978,0.173429808,0.355738756,0.003700017,0.288455478
0.5,2.01,VOR,15,5.33E-08,2236.5,380.365373,0.186986362,0.160535266,0.36645079,0.002976085,0.231693931
0.7,2.01,VOR,15,5.33E-08,4257.571111,351.3447262,0.185827964,0.157523691,0.367309849,0.002976085,0.234767356
1,2.01,VOR,15,5.33E-08,8561.717778,342.923799,0.185420158,0.156296929,0.367564515,0.002976085,0.236531685
1.4,2.01,VOR,15,5.33E-08,16647.66667,340.6382318,0.18516144,0.155766886,0.367552731,0.002976085,0.237336683
1.9,2.01,VOR,15,5.33E-08,30512,340.0228504,0.185084764,0.155543653,0.367576822,0.002976085,0.237866297
0.5,2.66,VOR,20,7.22E-08,1501.376167,384.9060864,0.159127048,0.171789498,0.33464886,0.002248729,0.266072891
0.7,2.66,VOR,20,7.22E-08,2879.639333,367.2540175,0.159857645,0.168747687,0.334968183,0.002248729,0.252836645
1,2.66,VOR,20,7.22E-08,5806.378333,361.5175872,0.160418852,0.166408779,0.335440729,0.002248729,0.246455078
1.4,2.66,VOR,20,7.22E-08,11300.46833,359.4225306,0.160615234,0.166396524,0.335596604,0.002248729,0.244505541
1.9,2.66,VOR,20,7.22E-08,20719.71333,358.3527301,0.160776732,0.173131021,0.335619027,0.002248729,0.243607188
0.5,3.35,VOR,25,4.00E-08,1169.093067,370.3450498,0.214261581,0.182690213,0.382747797,7.39E-07,0.263849851
0.7,3.35,VOR,25,4.00E-08,2257.7168,360.915981,0.213059643,0.181763564,0.382615464,2.97E-07,0.265144104
1,3.35,VOR,25,4.00E-08,4565.786267,357.3174389,0.212491048,0.181642029,0.382572226,6.42E-07,0.266020201
1.4,3.35,VOR,25,4.00E-08,8899.472267,355.9521542,0.212317422,0.18161239,0.382568297,1.75E-06,0.266534308
1.9,3.35,VOR,25,4.00E-08,16329.46533,355.0533912,0.212204634,0.18154454,0.382585483,3.54E-06,0.266868601
0.5,4,VOR,30,6.27E-08,1014.304111,296.2706656,0.190445138,0.159784429,0.379093306,8.30E-07,0.265197437
0.7,4,VOR,30,6.27E-08,1965.620444,291.3101055,0.189628105,0.159666578,0.379424494,4.29E-07,0.267545426
1,4,VOR,30,6.27E-08,3982.069889,289.509868,0.189104384,0.160275874,0.379518688,3.62E-07,0.268677893
1.4,4,VOR,30,6.27E-08,7767.982222,288.6962325,0.188724193,0.160797327,0.379575518,1.08E-06,0.269244601
1.9,4,VOR,30,6.27E-08,14261.54111,288.1767167,0.188530683,0.160836331,0.379628532,2.30E-06,0.269642375
0.5,1.22,VOR,10,8.94E-08,2331.63,741.0965496,0.182441305,0.158264101,0.336999817,7.94E-07,0.262024929
0.7,1.22,VOR,10,8.94E-08,4327.903333,595.2705609,0.181618373,0.157530476,0.337179488,4.65E-07,0.257851059
1,1.22,VOR,10,8.94E-08,8424.906667,514.908504,0.181205418,0.157619616,0.337153805,2.96E-07,0.255855598
1.4,1.22,VOR,10,8.94E-08,16077.4,484.2615787,0.181059748,0.157826332,0.337125373,7.32E-07,0.25507453
1.9,1.22,VOR,10,8.94E-08,29262.96667,475.0147801,0.181055152,0.157901677,0.337119047,1.58E-06,0.254672592
0.5,1.73,VOR,15,1.33E-07,1320.96,355.6798045,0.136758393,0.172832413,0.357109853,7.31E-07,0.266609631
0.7,1.73,VOR,15,1.33E-07,2494.477778,317.4985224,0.136327252,0.172664468,0.357097418,4.40E-07,0.260783675
1,1.73,VOR,15,1.33E-07,4993.006667,304.6451408,0.135719937,0.172685947,0.356905662,3.28E-07,0.257695115
1.4,1.73,VOR,15,1.33E-07,9698.955556,301.0719082,0.135532773,0.172479508,0.356745219,7.46E-07,0.256550882
1.9,1.73,VOR,15,1.33E-07,17771.73333,299.8207342,0.135458509,0.172359152,0.356678742,1.56E-06,0.25606905
0.5,2.3,VOR,20,6.32E-08,890.5211667,312.3180799,0.175188331,0.167054407,0.362759415,8.14E-07,0.318308884
0.7,2.3,VOR,20,6.32E-08,1693.306667,286.672472,0.174947732,0.167042707,0.362677631,3.38E-07,0.318566772
1,2.3,VOR,20,6.32E-08,3401.696667,278.3890692,0.174757005,0.166968117,0.362662601,6.35E-07,0.318930775
1.4,2.3,VOR,20,6.32E-08,6613.33,275.9052587,0.174668589,0.166920451,0.362681631,1.76E-06,0.319267289
1.9,2.3,VOR,20,6.32E-08,12121.51667,274.8356094,0.174597868,0.166909055,0.362692525,3.59E-06,0.319486483
0.5,2.88,VOR,25,1.02E-07,710.1218667,275.1995728,0.168333858,0.210025258,0.359609612,8.06E-07,0.28707764
0.7,2.88,VOR,25,1.02E-07,1367.085333,263.9830041,0.167533918,0.209732074,0.359558292,4.16E-07,0.286205774
1,2.88,VOR,25,1.02E-07,2762.672,260.122276,0.167094188,0.207811745,0.359532942,3.36E-07,0.286245413
1.4,2.88,VOR,25,1.02E-07,5384.698667,258.589281,0.166942565,0.204839365,0.359564043,1.02E-06,0.286454032
1.9,2.88,VOR,25,1.02E-07,9881.608,257.8053346,0.16686053,0.202509997,0.359582294,2.18E-06,0.286633719
0.5,3.45,VOR,30,1.63E-07,589.5825556,205.0791072,0.153183341,0.15208414,0.354309723,8.04E-07,0.259997906
0.7,3.45,VOR,30,1.63E-07,1138.507889,198.3089493,0.151829737,0.152736809,0.354266526,4.66E-07,0.25825618
1,3.45,VOR,30,1.63E-07,2303.795556,196.208496,0.151179035,0.153359044,0.354205041,2.61E-07,0.257693265
1.4,3.45,VOR,30,1.63E-07,4492.461111,195.3729883,0.15094686,0.153673047,0.354198798,6.68E-07,0.257463971
1.9,3.45,VOR,30,1.63E-07,8246.494444,194.8881178,0.150841668,0.153663223,0.354210466,1.48E-06,0.257345274
0.5,1.05,VOR,10,1.55E-07,1358.95,705.239952,0.130109301,0.150523885,0.380846183,8.39E-07,0.24658913
0.7,1.05,VOR,10,1.55E-07,2544.15,574.0833726,0.127838237,0.149844654,0.38091507,5.70E-07,0.242317763
1,1.05,VOR,10,1.55E-07,4992.863333,494.8275284,0.126804659,0.149340617,0.380693668,3.37E-07,0.240722051
1.4,1.05,VOR,10,1.55E-07,9514.4,457.0676283,0.126689865,0.149763189,0.380491234,1.44E-07,0.240074713
1.9,1.05,VOR,10,1.55E-07,17232.26667,440.5625561,0.126684216,0.149960505,0.380443368,2.03E-07,0.239829102
0.5,1.45,VOR,15,8.42E-08,819.78,406.9588992,0.176793218,0.189776127,0.336161683,2.24E-07,0.292642961
0.7,1.45,VOR,15,8.42E-08,1547.773333,355.5641633,0.177020773,0.188685737,0.336190233,4.31E-07,0.293303121
1,1.45,VOR,15,8.42E-08,3077.677778,332.177552,0.177085305,0.188239661,0.336247045,8.68E-07,0.293945856
1.4,1.45,VOR,15,8.42E-08,5963.977778,325.3906939,0.176985983,0.18810373,0.336285919,1.69E-06,0.294452609
1.9,1.45,VOR,15,8.42E-08,10923.04444,323.1325447,0.176919722,0.188085266,0.336311569,3.09E-06,0.294817072
0.5,1.88,VOR,20,1.41E-07,516.8521667,316.61904,0.182422734,0.149680821,0.333184261,8.00E-07,0.22698151
0.7,1.88,VOR,20,1.41E-07,978.705,282.6236152,0.181137677,0.149764213,0.333133089,4.28E-07,0.226922219
1,1.88,VOR,20,1.41E-07,1955.138333,268.2192,0.180487831,0.149755381,0.333139173,2.08E-07,0.227033028
1.4,1.88,VOR,20,1.41E-07,3795.735,264.0819971,0.180140512,0.149737625,0.333162689,7.42E-07,0.227129352
1.9,1.88,VOR,20,1.41E-07,6956.116667,262.5872576,0.179913904,0.149711669,0.333181737,1.67E-06,0.227222726
0.5,2.38,VOR,25,2.19E-07,382.2217333,97.67108088,0.15787416,0.145109573,0.330774875,8.21E-07,0.261301162
0.7,2.38,VOR,25,2.19E-07,720.9133333,77.95411924,0.156931083,0.145562572,0.330765276,5.23E-07,0.257368558
1,2.38,VOR,25,2.19E-07,1436.804,69.8353488,0.156455591,0.145186685,0.33077902,3.03E-07,0.255320165
1.4,2.38,VOR,25,2.19E-07,2784.157333,67.40757945,0.15627647,0.144682819,0.330810487,5.15E-07,0.254228294
1.9,2.38,VOR,25,2.19E-07,5096.486667,66.65263537,0.156187828,0.144320263,0.33083811,1.13E-06,0.253492963
0.5,2.85,VOR,30,3.43E-07,351.0316667,208.447344,0.129283808,0.111481106,0.337316547,7.20E-07,0.289494461
0.7,2.85,VOR,30,3.43E-07,675.5462222,197.7276122,0.127552318,0.111482387,0.337375305,4.49E-07,0.281714685
1,2.85,VOR,30,3.43E-07,1365.168889,194.20317,0.126910187,0.111947792,0.33735119,2.54E-07,0.277948367
1.4,2.85,VOR,30,3.43E-07,2661.257778,192.7200765,0.12668301,0.112304013,0.33733812,4.52E-07,0.276315337
1.9,2.85,VOR,30,3.43E-07,4885.392222,192.0649468,0.126516826,0.112531367,0.337352486,9.96E-07,0.275423544
